definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,jlpt_level,lesson_codes,tags,id,row_num,date_added
meat,肉,肉,,肉,NOUN,,,"{DUO_02_01,GENKI3_L02}",{food},2dd4acb2-11ca-50c5-b365-c22616ea316d,120,2022-05-30
menu,メニュー,めにゅう,,,NOUN,,,{GENKI3_L02},{food},3ab19c55-4c6a-53e0-afce-41968363d92a,121,2022-05-30
vegetables,野菜,やさい,,野菜,NOUN,,,"{DUO_02_01,GENKI3_L02}",{food},496222cc-1cb3-50c8-9e7e-bbc7d327b78c,122,2022-05-30
rice,ご飯,ごはん,,ご飯,NOUN,,,"{DUO_02_01,GENKI3_L04}",{food},4fbc0a01-e32a-5449-8efe-3ae37aee4f2f,123,2022-05-30
bread,パン,ぱん,,,NOUN,,,"{DUO_02_01,GENKI3_L04}",{food},b74ca7fa-4622-5a52-b9df-5260878e687b,124,2022-05-30
egg,卵,たまご,,卵,NOUN,,,{DUO_02_06},{food},5e2b2d0d-7461-56e2-a151-9a10375d5615,125,2022-05-30
apple,りんご,りんご,,林檎,NOUN,,,{DUO_02_06},{food},12c11165-7996-5b13-bf19-c3afc419afb2,126,2022-05-30
counter for hito-futa-mi system,〜つ,〜つ,,,COUNTER,,,{DUO_02_06},,1cf2249c-7785-424d-9a67-1c3ff6253938,127,2022-05-30
counter for round and clustered items,〜個,〜こ,,〜個,COUNTER,,,{DUO_02_06},,cab23f18-7b88-4262-956c-d31a0e829cbf,128,2022-05-30
umbrella,傘,かさ,,傘,NOUN,,,{GENKI3_L02},{things},b1852be8-7a0e-5541-b94d-29be625cb423,129,2022-05-30
bag,かばん,かばん,,鞄,NOUN,,,{GENKI3_L02},{things},b5d661b7-f275-5647-a86b-cf4bd963f512,130,2022-05-30
shoes,靴,くつ,,靴,NOUN,,,{GENKI3_L02},{things},96fb26f0-20df-51e0-b1c4-793ab736c2d9,131,2022-05-30
wallet,財布,さいふ,,財布,NOUN,,,{GENKI3_L02},{things},b802b5a4-5804-5f5a-a193-e475bceaf5dd,132,2022-05-30
jeans,ジーンズ,ジーンズ,,,NOUN,,,{GENKI3_L02},{things},bf5e0762-effe-5d38-8786-503cde98e504,133,2022-05-30
bicycle,自転車,じてんしゃ,,自転車,NOUN,,,{GENKI3_L02},{things},04bddd51-0749-5efe-9946-6d326f61bcb6,134,2022-05-30
newspaper,新聞,しんぶん,,新聞,NOUN,,,{GENKI3_L02},{things},f8a3e40d-f42e-5ba2-995d-3abc33e63a41,135,2022-05-30
smart phone,スマホ,スマホ,,,NOUN,,,{GENKI3_L02},{things},e7323b54-9fa5-5cb7-8d68-d2ebe9b379ea,136,2022-05-30
t-shirt,Ｔシャツ,ていいしゃつ,,,NOUN,,,{GENKI3_L02},{things},1a0585e5-3bd0-5903-90cc-d3381778da68,137,2022-05-30
clock,時計,時計,,時計,NOUN,,,{GENKI3_L02},{things},1c5e45ac-cc4a-5d53-b566-d6d832828ba0,138,2022-05-30
notebook,ノート,ノート,,,NOUN,,,{GENKI3_L02},{things},612eac67-3ec3-535e-94a3-249d60f51046,139,2022-05-30
pen,ペン,ペン,,,NOUN,,,{GENKI3_L02},{things},442d1c8e-a848-5fa4-8fc9-d398441b4b65,140,2022-05-30
hat; cap,帽子,ぼうし,,帽子,NOUN,,,{GENKI3_L02},{things},5f6cc5c3-6625-5caa-9277-f43493360fc2,141,2022-05-30
book,本,ほん,,本,NOUN,,,{GENKI3_L02},{things},6d055f49-622a-5d8a-a7d2-11de3279b9ce,142,2022-05-30
bank,銀行,ぎんこう,,銀行,NOUN,,,{GENKI3_L02},{place},3a52dad1-de68-523b-b6ad-3148496bcf8e,143,2022-05-30
convenience store,コンビニ,コンビニ,,,NOUN,,,{GENKI3_L02},{place},6c108fe0-b52d-56de-96f2-f8e0bf450367,144,2022-05-30
toilet; restroom,トイレ,トイレ,,,NOUN,,,{GENKI3_L02},{place},14edc8de-8ed3-58f5-a083-13a34db6f490,145,2022-05-30
libaary,図書館,としょかん,,図書館,NOUN,,,{GENKI3_L02},{place},dd52de46-6d78-5bc3-96ab-b25e9be9e291,146,2022-05-30
post office,郵便局,ゆうびんきょく,,郵便局,NOUN,,,{GENKI3_L02},{place},89b553be-905d-57aa-946c-86dc9f366aa2,147,2022-05-30
how much,いくら,いくら,,幾ら,ADVERB,,,{GENKI3_L02},{money},f7d4fade-03e1-53e3-94c0-24034e6a9e08,148,2022-05-30
...yen,〜円,〜えん,,〜円,NOUN,,,{GENKI3_L02},{money},fbae6594-96c7-53f0-a80b-bd325d5a22ff,149,2022-05-30
expensive; high,高い,たかい,,高い,ADJECTIVE,I_ADJECTIVE,,{GENKI3_L02},{money},dcb08e4f-eb7c-5536-bd57-ee51127a14be,150,2022-05-30
welcome,いらっしゃいませ,いらっしゃいませ,,,EXPRESSION,,,{GENKI3_L02},,1cee44df-fc33-5279-8d09-5051e714782f,151,2022-05-30
...please,〜お願いします,〜おねがいします,,〜お願いします,EXPRESSION,,,{GENKI3_L02},,845d24c6-6c7c-50f4-8dd7-450485839fa5,152,2022-05-30
please give me...,〜ください,〜ください,,,EXPRESSION,,,"{DUO_02_01,GENKI3_L02}",,fc6be215-8cf3-55b8-8a6b-0dd345852963,153,2022-05-30
then...; if that is the case...,じゃあ,じゃあ,,,EXPRESSION,,,{GENKI3_L02},,3bb29baa-6e40-5c58-93cd-2000ea1120eb,154,2022-05-30
here it is; please go ahead; i beg of you,とおぞ,とおぞ,,,EXPRESSION,,,{GENKI3_L02},,8dc54b41-91cb-5289-bb0b-5f4a5854fea7,155,2022-05-30
thanks (casual),どうも,どうも,,,EXPRESSION,,,{GENKI3_L02},,5891a34d-ba0a-5458-b42e-f82c60d27f9f,156,2022-05-30
zero,ゼロ,ゼロ,,,NOUN,,,{GENKI3_L02},{number},48b8587c-d363-5b54-94d9-c9e5dfff2412,157,2022-05-30
one,一,いち,,一,NOUN,,,{GENKI3_L02},{number},c007b505-323f-5517-8353-ed093d1571de,158,2022-05-30
two,二,に,,二,NOUN,,,{GENKI3_L02},{number},8873834d-7358-505d-a93b-7782dbd00024,159,2022-05-30
three,三,さん,,三,NOUN,,,{GENKI3_L02},{number},0f9e7c25-4cfa-5186-a893-0f59b7e34745,160,2022-05-30
four,四,よん,し,四,NOUN,,,{GENKI3_L02},{number},59d58d35-f0f2-5535-8404-8cb786e2c830,161,2022-05-30
five,ご,ご,,,NOUN,,,{GENKI3_L02},{number},82339058-2123-58a8-93dc-b1c0b05cdae8,162,2022-05-30
six,六,六,,六,NOUN,,,{GENKI3_L02},{number},e469a7d8-cfad-5a85-ba5c-cb1d0c8ca1b0,163,2022-05-30
seven,七,なな,しち,七,NOUN,,,{GENKI3_L02},{number},49ab0509-4a86-552d-975b-fc49e74790d4,164,2022-05-30
eight,八,はち,,八,NOUN,,,{GENKI3_L02},{number},6d9b3812-644e-5890-94cc-09a2fd01a30a,165,2022-05-30
nine,九,きゅう,,九,NOUN,,,{GENKI3_L02},{number},aaf16bcd-1ecc-5f72-97a6-497825719aba,166,2022-05-30
ten,十,じゅう,,十,NOUN,,,{GENKI3_L02},{number},e05ed6a4-edcb-5052-9760-1e10c70c2236,167,2022-05-30
hundred,百,ひゃく,,百,NOUN,,,{GENKI3_L03},{number},0f06fb63-c508-57a2-8983-2cb9f5dfd2e7,168,2022-07-24
thousand,千,せん,,千,NOUN,,,{GENKI3_L03},{number},662aaf34-2fd3-5ab7-ad40-ee6e4862fc2c,169,2022-07-24
ten-thousand,万,まん,,万,NOUN,,,{GENKI3_L03},{number},06eedaf7-2c40-54e4-a1ea-669b265fda8d,170,2022-07-24
movie,映画,えいが,,映画,NOUN,,,{GENKI3_L03},{entertainment},b82fa253-fbb7-559c-b127-77d2262df800,171,2022-07-24
music,音楽,おんがく,,音楽,NOUN,,,{GENKI3_L03},{entertainment},aa05a718-c2a5-5083-9c3d-b0e4d1bd09a8,172,2022-07-24
magazine,雑誌,ざっし,,雑誌,NOUN,,,{GENKI3_L03},{entertainment},3bef2c81-886b-5bbd-9f1b-dfc94288bea2,173,2022-07-24
sports,スポーツ,スポーツ,,,NOUN,,,{GENKI3_L03},{entertainment},bbf5a302-a23c-5142-b721-2aa90ff1e8dc,174,2022-07-24
date (romantic),デート,デート,,,NOUN,,,{GENKI3_L03},{entertainment},738002f3-36da-5668-8a8b-46415de8cd52,175,2022-07-24
tennis,テニス,テニス,,,NOUN,,,{GENKI3_L03},{entertainment},8f790b97-9843-5efe-b338-e1c37618c616,176,2022-07-24
TV,テレビ,テレビ,,,NOUN,,,{GENKI3_L03},{entertainment},5ca8a07b-ac34-5789-ab4a-8bd29d51929c,177,2022-07-24
ice cream,アイスクリーム,アイスクリーム,,,NOUN,,,{GENKI3_L03},{food},b3e732b3-61c4-574d-8901-b1c74076b5ea,178,2022-07-24
hamburger,ハンバーガー,ハンバーガー,,,NOUN,,,{GENKI3_L03},{food},720a22a5-3132-56e6-8380-03a20e2a4af1,179,2022-07-24
sake; alcohol,お酒,おさけ,,お酒,NOUN,,,{GENKI3_L03},{food},dbf81e7a-c846-5129-b017-a31ad90eb752,180,2022-07-24
green tea,お茶,おちゃ,,お茶,NOUN,,,{GENKI3_L03},{food},4b6153f0-1c2e-5330-94dc-e71afa17d386,181,2022-07-24
coffee,コーヒー,コーヒー,,,NOUN,,,{GENKI3_L03},{food},c675acf7-4ab1-5a0a-beb3-e65aff83932a,182,2022-07-24
water,水,みず,,水,NOUN,,,{GENKI3_L03},{food},ff69f94e-49fa-5015-a8e8-6bdab429f087,183,2022-07-24
breakfast,朝ご飯,あさごはん,,朝ご飯,NOUN,,,{GENKI3_L03},{food},455c3d21-e4c5-5cae-a4b1-2f4a0b988e50,184,2022-07-24
lunch,昼ご飯,ひるごはん,,昼ご飯,NOUN,,,{GENKI3_L03},{food},43903683-a322-530c-88e1-a1c406296be6,185,2022-07-24
dinner,晩御飯,ばんごはん,,晩御飯,NOUN,,,{GENKI3_L03},{food},4e1fc6f4-772d-5a1f-8391-5453bcbf4817,186,2022-07-24
home; house,家,いえ,,家,NOUN,,,"{DUO_02_04,GENKI3_L03}",{place},e6aa13b6-6f6a-57db-8433-701ba55fa918,187,2022-07-24
my place,うち,うち,,家,NOUN,,,{GENKI3_L03},{place},522046f3-2cfa-565e-a8d5-15f048b49776,188,2022-07-24
cafe,カフェ,カフェ,,,NOUN,,,{GENKI3_L03},{place},c5ebd7d9-06b2-596e-96f5-7366810ea78c,189,2022-07-24
tomorrow,明日,あした,,明日,NOUN,,,{GENKI3_L03},{time},3972d239-6e9a-5163-bf43-c4a2b81783db,190,2022-07-24
today,今日,きょう,,今日,NOUN,,,{GENKI3_L03},{time},a4dbf3ac-a372-58a7-b9ac-a7f018ba587c,191,2022-07-24
morning,朝,あさ,,朝,NOUN,,,{GENKI3_L03},{time},b415c8ff-d8fb-5e40-9a89-ed5fa1997831,192,2022-07-24
tonight,今晩,こんばん,,今晩,NOUN,,,{GENKI3_L03},{time},e872c853-3159-56b7-834e-066e364a5782,193,2022-07-24
every day,毎日,まいにち,,毎日,NOUN,,,{GENKI3_L03},{time},7ec8469c-ee0f-5a33-9f9f-e025e6cffdd0,194,2022-07-24
every morning,毎朝,まいあさ,,毎朝,NOUN,,,{DUO_02_03},{time},1efcd811-18f8-5b64-be29-9f46fbef3286,195,2022-07-24
every night,毎晩,まいばん,,毎晩,NOUN,,,{GENKI3_L03},{time},9e1ccd85-e76b-559b-9c13-ac2202a04849,196,2022-07-24
weekend,週末,しゅうまつ,,週末,NOUN,,,{GENKI3_L03},{time},788e64aa-46ee-574d-aad9-83c8b56bc40a,197,2022-07-24
Saturday,土曜日,土曜日,,土曜日,NOUN,,,{GENKI3_L03},{time},f7d20fe3-57b3-5e6d-85f6-5b54b0ba7088,198,2022-07-24
Sunday,日曜日,にちようび,,日曜日,NOUN,,,{GENKI3_L03},{time},61637bb4-cc4a-52be-86fa-7fb678ab6e62,199,2022-07-24
when,いつ,いつ,,,NOUN,,,{GENKI3_L03},{time},f05e2adf-83c4-5ccf-a74a-fbd5664dceb1,200,2022-07-24
to go,行く,いく,,行く,VERB,GODAN_VERB,,"{DUO_02_03,GENKI3_L03}",,50cbf96a-57d3-5f45-b5fc-e415ff57717a,201,2022-07-24
to go back; to return,帰る,かえる,,帰る,VERB,GODAN_VERB,,{GENKI3_L03},,243bdf44-b101-5d5d-bc51-a4f5c1c03bc3,202,2022-07-24
to listen; to hear,聞く,きく,,聞く,VERB,GODAN_VERB,,{GENKI3_L03},,27c14160-d0d6-51f8-b7b1-9172cf8b84d2,203,2022-07-24
to drink;,飲む,のむ,,飲む,VERB,GODAN_VERB,,"{DUO_02_03,GENKI3_L03}",,b8a9c502-6f50-5d50-96f1-417feef69161,204,2022-07-24
to speak; to talk,話す,はなす,,話す,VERB,GODAN_VERB,,{GENKI3_L03},,87e72b5b-0332-5b61-b21c-ea8cc6a05c1f,205,2022-07-24
to read,読む,よむ,,読む,VERB,GODAN_VERB,,{GENKI3_L03},,615aadf7-6900-5c48-814a-d6cc0884ae86,206,2022-07-24
to get up,起きる,おきる,,起きる,VERB,ICHIDAN_VERB,,"{DUO_02_03,GENKI3_L03}",,bd0e8ffa-f7cd-5b27-8481-6ecb87512f6c,207,2022-07-24
to eat,食べる,たべる,,食べる,VERB,ICHIDAN_VERB,,"{DUO_02_03,GENKI3_L03}",,28166f6b-3aba-5230-9bd4-18e1a467bc3f,208,2022-07-24
to sleep; to go to sleep,寝る,ねる,,寝る,VERB,ICHIDAN_VERB,,"{DUO_02_03,GENKI3_L03}",,45b4593b-f7a0-516e-84c4-68c7a7099243,209,2022-07-24
to see; to look at; to watch,見る,みる,,見る,VERB,ICHIDAN_VERB,,{GENKI3_L03},,66e4cf05-72cd-512b-a462-05f4e69906b5,210,2022-07-24
to come,来る,くる,,来る,VERB,IRREGULAR_VERB,,{GENKI3_L03},,10567940-e3bb-5257-b33c-ae9976bfaddd,211,2022-07-24
to do,する,する,,,VERB,IRREGULAR_VERB,,{GENKI3_L03},,5800b221-4eb5-5331-8c6c-413e2d08c007,212,2022-07-24
to study,勉強する,べんきょうする,,勉強する,VERB,IRREGULAR_VERB,,{GENKI3_L03},,9e9dc42e-df1e-5ace-948a-9dce72caaceb,213,2022-07-24
good,いい,いい,,,ADJECTIVE,I_ADJECTIVE,,{GENKI3_L03},,349836a3-2523-5f85-a7c1-f85e49c73f27,214,2022-07-24
early,早い,はやい,,早い,ADJECTIVE,I_ADJECTIVE,,{GENKI3_L03},,fc5427a3-a54b-5c04-8b36-a570b8e7a72b,215,2022-07-24
not much,あまり + negative,あまり + negative,,,ADVERB,,,{GENKI3_L03},,311f8bec-e54c-5317-8880-dfd3e39d23a7,216,2022-07-24
not at all,全然 + negative,ぜんぜん,,全然 + negative,ADVERB,,,{GENKI3_L03},,1e68ea18-9d69-5761-a463-510eab20d1d3,217,2022-07-24
usually,たいてい,たいてい,,大抵,ADVERB,,,{GENKI3_L03},,818210e0-641a-56f3-9241-7d24504480e2,218,2022-07-24
a little,ちょっと,ちょっと,,,ADVERB,,,{GENKI3_L03},,b8b492d0-5612-5ac1-bb4d-15f03e959c89,219,2022-07-24
sometimes,時々,ときどき,,時々,ADVERB,,,{GENKI3_L03},,02115b33-cd19-587a-a3f2-446dea254e33,220,2022-07-24
often; much,よく,よく,,,ADVERB,,,{GENKI3_L03},,d7dc5e63-a1ca-58e6-9c31-047e23342953,221,2022-07-24
that's so; isn't it?,そうですね,そうですね,,,EXPRESSION,,,{GENKI3_L03},,31df08c1-4538-5a5f-aa61-af9e88805bd5,222,2022-07-24
but,でも,でも,,,EXPRESSION,,,{GENKI3_L03},,7d85fe8c-2226-573f-a219-0f2def303b50,223,2022-07-24
"How about...?, How is...?",どうてすか,どうてすか,,,EXPRESSION,,,{GENKI3_L03},,4fe504e0-3bf5-5480-98e6-5e626dddc417,224,2022-07-24
yes,ええ,ええ,,,EXPRESSION,,,{GENKI3_L03},,6e231f76-5724-5b3c-acfc-cdee6e2eb3a6,225,2022-07-24
everyone; everybody,みんな,みんな,,,NOUN,,,,,50ec881b-73e0-502b-8316-3d67e8dababb,226,2022-07-24
i'm okay; no problem,大丈夫,だいじょうぶ,,大丈夫,EXPRESSION,,,,,f5f775ad-523f-5888-b269-fcb13c1c1051,227,2022-07-24
I'm okay; no thank you; it's all right,大丈夫です,だいじょうぶです,,大丈夫です,EXPRESSION,,,,,6ae314ed-22ae-5a5f-8e43-c5165e6eb3a1,228,2022-07-24
little quantity; few,少し,すこし,,少し,ADVERB,,,,,8640d0ab-1efc-5b18-a49c-564f8e53d65c,229,2022-07-24
"again, once more; also, too, as well",また,また,,,ADVERB,,,,,ecb81156-ea05-44c8-bea0-9e5c199c1c4b,230,2022-08-08
bye; see you later,またね,またね,,,INTERJECTION,,,,,820e130a-a772-413e-a754-d1a0021bbcf5,231,2022-08-08
bye; see you,じゃね,じゃあね,じゃね,,INTERJECTION,,,,,82223749-3af6-4348-b0f0-a0addad0ddf2,232,2022-08-08
kitchen,台所,だいどころ,,台所,NOUN,,,{DUO_02_04},{home},03137815-af09-4ff0-84a7-622d92cf600c,233,2022-05-30
room,部屋,へや,,部屋,NOUN,,,{DUO_02_04},{home},f6d9d4a3-811d-4ab1-80e1-8f979c4b483c,234,2022-05-30
bath(tub),風呂,ふろ,,風呂,NOUN,,,{DUO_02_04},{home},f31e6384-d4e9-4a67-b12e-e08cddfdba29,235,2022-05-30
bedroom,寝室,しんしつ,,寝室,NOUN,,,{DUO_02_04},{home},0079d5eb-c8e1-4f3b-9105-51054a2c0b8a,236,2022-05-30
window,窓,まど,,窓,NOUN,,,{DUO_02_04},{home},b04ef471-2292-4ca7-a470-4829fb116b8a,237,2022-05-30
yard; garden,庭,にわ,,庭,NOUN,,,{DUO_02_04},{home},c08c0aff-7835-4c0a-a560-cd8e627c3a90,238,2022-05-30
chair,椅子,いす,,椅子,NOUN,,,{DUO_02_04},{home},9e935991-a6f7-4383-b8a0-9376d7af8298,239,2022-05-30
sofa,ソファー,ソファー,,,NOUN,,,{DUO_02_04},{home},2f7263b8-e1dd-4c09-94d0-7ad22fe82a5b,240,2022-05-30
desk,机,つくえ,,机,NOUN,,,{DUO_02_04},{home},068b1a67-d6a5-4790-a264-febfbccc06c2,241,2022-05-30
pet,ペット,ペット,,,NOUN,,,{DUO_02_04},{animal},7361012a-f230-444c-babe-48449c5bc79d,242,2022-05-30
dog,犬,いぬ,,犬,NOUN,,,{DUO_02_04},{animal},f9f3b546-f023-4b35-9db2-068f8143c41e,243,2022-05-30
cat,猫,ねこ,,猫,NOUN,,,{DUO_02_04},{animal},5399ca2c-f192-40b6-9b69-28dc1de577c8,244,2022-05-30
bird,鳥,とり,,鳥,NOUN,,,{DUO_02_04},{animal},f5b2d28f-d519-4138-a9d0-5c99b82d09af,245,2022-05-30
puppy,子犬,こいぬ,,子犬,NOUN,,,{DUO_02_04},{animal},9704386f-fba7-4008-b079-fc541fb9c0dc,246,2022-05-30
kitten,子猫,こねこ,,子猫,NOUN,,,{DUO_02_04},{animal},63a5b1e8-d69e-4f78-9fa1-f6ed248b872b,247,2022-05-30
"counter for birds, rabbits, etc",〜羽,〜わ,,〜羽,COUNTER,,,{DUO_02_04},{animal},93849573-7b32-4df3-a3b9-a15fb7555627,248,2022-05-30
"she, her",彼女,かのじょ,,彼女,PRONOUN,,,{DUO_02_07},,6432ab47-a4a0-487f-89ad-b37fce084c74,249,2022-08-08
"him, he",彼,かれ,,彼,PRONOUN,,,{DUO_02_07},,794880bc-1fa2-4fb8-9fa0-bd04c175bbee,250,2022-08-08
"they, them",彼ら,かれら,,彼ら,PRONOUN,,,{DUO_02_07},,46260a68-5466-4f70-9b0b-968d8143848f,251,2022-08-08
"...plural (person, animal)",〜たち,〜たち,,〜達,SUFFIX,,,{DUO_02_07},,7592b181-b6f1-41f0-b618-4ae67ab38b21,252,2022-08-08
"I,me (male term)",僕,ぼく,,僕,PRONOUN,,,{DUO_02_07},,bd6d533d-c173-49c5-95c7-85fe90dd38a6,253,2022-08-08